gwb_code_10,gwb_code_8,buurtcode,buurtnaam,gemeente,recs,a_inw,a_00_14,a_15_24,a_25_44,a_45_64,a_65_oo,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,bev_dich,ste_oad,p_1gezw,p_mgezw,g_afs_hp,g_afs_gs,g_afs_kv,g_afs_sc,g_3km_sc,gm_code,gm_code_int,elderly_share,children_share,family_household_share
BU00140000,00140000,BU00140000,Binnenstad-Noord,Groningen,Buurt,4765,60,2300,1595,475,340,3885,3200,595,90,12845.0,7062.0,11.0,89.0,0.4,0.3,0.6,0.5,15.1,0014,14,0.07135362014690451,0.012591815320041973,0.023166023166023165
BU00140001,00140001,BU00140001,Binnenstad-Zuid,Groningen,Buurt,7085,110,3500,2310,635,535,5805,4795,875,135,12855.0,6765.0,8.0,92.0,0.3,0.3,0.5,0.9,13.3,0014,14,0.07551164431898377,0.015525758645024701,0.023255813953488372
BU00140002,00140002,BU00140002,Binnenstad-Oost,Groningen,Buurt,4370,115,1755,1645,465,390,3480,2795,560,125,16293.0,6400.0,13.0,87.0,0.5,0.5,0.4,0.8,13.7,0014,14,0.08924485125858124,0.02631578947368421,0.035919540229885055
BU00140003,00140003,BU00140003,Binnenstad-West,Groningen,Buurt,1705,30,705,660,155,160,1410,1155,215,35,17475.0,6791.0,11.0,89.0,0.6,0.3,0.6,1.0,12.8,0014,14,0.093841642228739,0.017595307917888565,0.024822695035460994
BU00140004,00140004,BU00140004,Noorderplantsoen,Groningen,Buurt,10,0,0,0,5,0,5,0,5,0,52.0,6629.0,,,0.5,0.5,0.3,0.4,15.0,0014,14,0.0,0.0,0.0
BU00140005,00140005,BU00140005,Hortusbuurt-Ebbingekwartier,Groningen,Buurt,6515,230,2715,1965,885,720,4935,3935,750,250,14976.0,7065.0,19.0,81.0,0.4,0.4,0.4,0.6,14.9,0014,14,0.11051419800460476,0.035303146584804296,0.05065856129685917
BU00140007,00140007,BU00140007,UMCG,Groningen,Buurt,0,0,0,0,0,0,5,0,0,0,,6742.0,,,,,,,,0014,14,,,0.0
BU00140008,00140008,BU00140008,Stationsgebied,Groningen,Buurt,530,70,105,140,120,90,350,230,50,70,4149.0,6190.0,5.0,95.0,0.5,0.7,0.7,1.0,13.4,0014,14,0.16981132075471697,0.1320754716981132,0.2
BU00140100,00140100,BU00140100,De Meeuwen,Groningen,Buurt,1930,170,650,530,300,275,1345,980,205,165,8835.0,4316.0,47.0,53.0,0.6,0.9,0.9,0.8,8.8,0014,14,0.14248704663212436,0.08808290155440414,0.12267657992565056
BU00140101,00140101,BU00140101,Oosterpoort,Groningen,Buurt,5020,215,1590,1795,815,595,3715,2715,740,265,12663.0,4541.0,32.0,68.0,0.6,0.5,0.5,0.5,10.2,0014,14,0.11852589641434264,0.04282868525896414,0.07133243606998654
BU00140102,00140102,BU00140102,Herewegbuurt,Groningen,Buurt,1615,85,520,635,230,140,1155,825,245,80,9910.0,4550.0,27.0,73.0,0.7,0.7,0.4,0.8,11.6,0014,14,0.08668730650154799,0.05263157894736842,0.06926406926406926
BU00140103,00140103,BU00140103,Rivierenbuurt,Groningen,Buurt,4615,225,1390,1750,630,620,3370,2445,700,225,8342.0,4447.0,3.0,97.0,0.3,0.4,0.4,0.4,13.3,0014,14,0.13434452871072589,0.04875406283856988,0.06676557863501484
BU00140104,00140104,BU00140104,Grunobuurt,Groningen,Buurt,2710,240,660,1205,400,215,1925,1350,350,225,12419.0,3984.0,2.0,98.0,0.6,0.4,0.3,0.3,11.4,0014,14,0.07933579335793357,0.08856088560885608,0.11688311688311688
BU00140105,00140105,BU00140105,Badstratenbuurt,Groningen,Buurt,915,20,305,405,110,80,735,585,130,25,15222.0,5899.0,24.0,76.0,0.7,0.3,0.4,0.9,12.2,0014,14,0.08743169398907104,0.02185792349726776,0.034013605442176874
BU00140106,00140106,BU00140106,Zeeheldenbuurt,Groningen,Buurt,3570,105,1535,1480,290,160,2735,2065,550,120,10690.0,4217.0,3.0,97.0,1.0,0.6,0.6,1.2,10.6,0014,14,0.04481792717086835,0.029411764705882353,0.043875685557586835
BU00140107,00140107,BU00140107,Laanhuizen,Groningen,Buurt,1300,60,430,530,185,100,900,600,230,70,6327.0,3727.0,13.0,87.0,0.9,0.8,0.3,0.6,10.8,0014,14,0.07692307692307693,0.046153846153846156,0.07777777777777778
BU00140108,00140108,BU00140108,Stadspark,Groningen,Buurt,20,0,0,10,10,5,15,15,5,0,15.0,1888.0,,,1.5,1.7,1.5,1.5,5.0,0014,14,0.25,0.0,0.0
BU00140109,00140109,BU00140109,Martini Trade Park,Groningen,Buurt,5,0,0,0,0,0,0,0,0,0,,2924.0,,,,,,,,0014,14,0.0,0.0,
BU00140110,00140110,BU00140110,Peizerweg,Groningen,Buurt,295,0,200,85,5,5,20,15,5,0,800.0,961.0,,,1.9,1.3,1.5,1.7,7.9,0014,14,0.01694915254237288,0.0,0.0
BU00140200,00140200,BU00140200,Oranjebuurt,Groningen,Buurt,2600,210,645,755,550,445,1690,1090,365,235,9933.0,5742.0,22.0,78.0,1.0,0.4,0.7,0.5,13.3,0014,14,0.17115384615384616,0.08076923076923077,0.1390532544378698
BU00140201,00140201,BU00140201,Noorderplantsoenbuurt,Groningen,Buurt,3900,220,1205,1380,685,410,2770,1990,535,245,15599.0,6508.0,35.0,65.0,0.9,0.4,0.8,0.7,14.0,0014,14,0.10512820512820513,0.05641025641025641,0.08844765342960288
BU00140202,00140202,BU00140202,Schildersbuurt,Groningen,Buurt,5670,205,2515,1645,705,595,4265,3265,765,230,15527.0,5858.0,25.0,75.0,0.5,0.5,0.3,0.8,13.9,0014,14,0.10493827160493827,0.036155202821869487,0.053927315357561546
BU00140203,00140203,BU00140203,Kostverloren,Groningen,Buurt,2365,180,575,935,410,260,1640,1125,340,170,9526.0,4048.0,11.0,89.0,0.6,0.3,0.4,0.5,13.5,0014,14,0.10993657505285412,0.07610993657505286,0.10365853658536585
BU00140301,00140301,BU00140301,Indische buurt,Groningen,Buurt,8525,805,2245,3215,1500,760,5885,4205,940,735,12303.0,5210.0,11.0,89.0,0.5,0.4,0.4,0.8,11.4,0014,14,0.08914956011730206,0.09442815249266862,0.12489379779099405
BU00140302,00140302,BU00140302,Professorenbuurt,Groningen,Buurt,6430,445,2475,2325,775,420,4525,3245,880,410,12089.0,5492.0,13.0,87.0,0.6,0.5,0.4,0.6,11.8,0014,14,0.06531881804043546,0.06920684292379471,0.09060773480662983
BU00140303,00140303,BU00140303,De Hoogte,Groningen,Buurt,4095,535,755,1770,760,275,2700,1840,410,450,11545.0,5349.0,22.0,78.0,0.8,0.7,0.7,1.1,11.3,0014,14,0.06715506715506715,0.13064713064713065,0.16666666666666666
BU00140304,00140304,BU00140304,Bedrijventerrein De Hoogte,Groningen,Buurt,10,0,0,10,5,0,10,5,5,0,56.0,2735.0,,,1.1,1.0,0.9,1.1,11.0,0014,14,0.0,0.0,0.0
BU00140400,00140400,BU00140400,Gorechtbuurt,Groningen,Buurt,4745,315,1390,1970,645,435,3370,2375,685,310,12601.0,5521.0,10.0,90.0,0.4,0.3,0.4,0.6,11.9,0014,14,0.0916754478398314,0.06638566912539515,0.09198813056379822
BU00140401,00140401,BU00140401,Vogelbuurt,Groningen,Buurt,3145,435,420,1370,635,285,1940,1225,350,370,8918.0,4388.0,16.0,84.0,0.7,0.6,0.6,0.8,10.1,0014,14,0.09062003179650238,0.1383147853736089,0.19072164948453607
BU00140402,00140402,BU00140402,Bloemenbuurt,Groningen,Buurt,2765,345,360,1125,685,250,1815,1160,320,330,11902.0,3640.0,41.0,59.0,0.6,0.5,0.4,0.4,9.4,0014,14,0.09041591320072333,0.12477396021699819,0.18181818181818182
BU00140403,00140403,BU00140403,Florabuurt,Groningen,Buurt,1485,200,220,625,315,125,880,510,190,185,5963.0,2879.0,31.0,69.0,1.2,1.0,0.5,0.7,7.9,0014,14,0.08417508417508418,0.13468013468013468,0.21022727272727273
BU00140404,00140404,BU00140404,Damsterbuurt,Groningen,Buurt,775,40,180,355,120,75,590,465,80,50,2818.0,4099.0,11.0,89.0,0.8,0.6,0.3,0.9,10.6,0014,14,0.0967741935483871,0.05161290322580645,0.0847457627118644
BU00140500,00140500,BU00140500,De Linie,Groningen,Buurt,945,170,110,325,235,95,435,160,120,155,8730.0,3469.0,36.0,64.0,0.6,0.8,0.6,1.2,6.9,0014,14,0.10052910052910052,0.17989417989417988,0.3563218390804598
BU00140501,00140501,BU00140501,Europapark,Groningen,Buurt,1330,60,120,445,230,480,905,580,270,65,3029.0,2260.0,5.0,95.0,0.3,0.3,0.3,1.5,7.5,0014,14,0.3609022556390977,0.045112781954887216,0.0718232044198895
BU00140503,00140503,BU00140503,Kop van Oost,Groningen,Buurt,685,75,100,275,155,75,395,215,115,70,11792.0,4379.0,23.0,77.0,0.7,1.2,1.0,1.2,9.1,0014,14,0.10948905109489052,0.10948905109489052,0.17721518987341772
BU00140504,00140504,BU00140504,Woonschepenhaven,Groningen,Buurt,125,5,25,30,40,25,80,45,20,10,1894.0,1030.0,,,2.2,2.1,1.8,1.7,3.0,0014,14,0.2,0.04,0.125
BU00140505,00140505,BU00140505,Driebond,Groningen,Buurt,80,5,15,40,15,5,15,15,0,0,89.0,422.0,,,2.3,2.1,1.8,1.8,2.9,0014,14,0.0625,0.0625,0.0
BU00140506,00140506,BU00140506,Eemspoort,Groningen,Buurt,30,5,0,0,15,5,15,0,5,5,27.0,321.0,,,3.0,2.9,2.7,2.4,1.0,0014,14,0.16666666666666666,0.16666666666666666,0.3333333333333333
BU00140507,00140507,BU00140507,Euvelgunne,Groningen,Buurt,50,5,5,15,20,5,25,10,5,5,53.0,365.0,,,2.6,2.2,2.3,2.5,0.9,0014,14,0.1,0.1,0.2
