buurtcode,klasse_apotheek,klasse_basisschool,klasse_bushalte,klasse_fastfood,klasse_horeca,klasse_huisarts,klasse_kinderopvang,klasse_kledingwinkel,klasse_restaurant,klasse_sportterrein,klasse_supermarkt,klasse_treinstation,klasse_voortgezet_onderwijs,klasse_ziekenhuis,aantal_drinkwaterpunt,utilitarian_amenities,leisure_social_amenities,total_amenities
BU00140000,0.0,2.0,1,2.0,2.0,1.0,1,2.0,2.0,0.0,2.0,0.0,0.0,0.0,7,7.0,15.0,22.0
BU00140001,2.0,0.0,2,2.0,2.0,2.0,2,2.0,2.0,0.0,2.0,0.0,2.0,2.0,0,14.0,8.0,22.0
BU00140002,0.0,2.0,2,2.0,2.0,1.0,1,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0,8.0,7.0,15.0
BU00140003,0.0,0.0,2,2.0,2.0,0.0,1,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0,4.0,8.0,12.0
BU00140004,0.0,0.0,1,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,2.0,4.0,6.0
BU00140005,0.0,2.0,2,2.0,2.0,2.0,2,2.0,2.0,0.0,2.0,0.0,0.0,0.0,1,10.0,9.0,19.0
BU00140007,1.0,0.0,2,0.0,0.0,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,6.0
BU00140008,0.0,0.0,2,2.0,2.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,4.0,6.0,10.0
BU00140100,0.0,0.0,2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,2.0,5.0
BU00140101,0.0,2.0,1,2.0,2.0,2.0,2,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0,8.0,6.0,14.0
BU00140102,0.0,0.0,1,1.0,2.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,2.0,4.0,6.0
