Wogem_DANS24,n_trips_unweighted,weighted_trips,cycling_share,car_share,utilitarian_trip_share,leisure_social_trip_share,municipality_name
743,2,162643326030,1.0,0.0,0.0,1.0,Asten
770,11,144835365158,0.0,0.8181818181818182,0.36363636363636365,0.2727272727272727,Eersel
772,25,1752172723198,0.5925089790247141,0.1664028458894416,0.3665784411565785,0.5578285694946011,Eindhoven
794,6,654657605376,0.23883719059247346,0.0,1.0,0.0,Helmond
820,8,791108794369,0.4745506954747501,0.26833330299572555,0.23727534773737505,0.52544930452525,"Nuenen, Gerwen en Nederwetten"
861,3,366598650834,0.0,0.6666666666666666,0.0,1.0,Veldhoven
866,13,1485804614115,0.0873003825871552,0.6915758160315343,0.2550739030957583,0.48302494914277616,Waalre
1652,5,494975381865,0.6,0.4,0.0,1.0,Gemert-Bakel
1658,12,1745691881428,0.8535307440349428,0.1464692559650572,0.7154897519883524,0.09483674933721586,Heeze-Leende
1659,4,25764716228,1.0,0.0,0.5,0.5,Laarbeek
1771,8,205465473500,0.7255981382390263,0.26917074527852486,0.263939628796076,0.7308292547214751,Geldrop-Mierlo
