HHSam_DANS24,Wogem_DANS24,Sted,GemGr,Prov,Corop,KLeeft,Verpl,KMotiefV,KAfstV,Hvm,KHvm,FactorV,weight_v,is_bike,is_car,is_utilitarian_trip,is_leisure_social_trip,life_stage,OPID,HHPers,Geslacht,AfstV,FactorP,year,avg_dist_km,is_cyclable,pop_weighted_total_access,pop_weighted_utilitarian_access,pop_weighted_leisure_social_access,dominant_type
2,779,3,4.0,11,33.0,17,1.0,4.0,3.0,7.0,5.0,95.976.866.503,0.9298283935844499,1,0,1,0,Senior (70+),,,,,,,0.8582440747493163,True,71.32862351868732,44.74726526891522,26.581358249772105,Mixed gemeente
2,779,3,4.0,11,33.0,17,1.0,4.0,3.0,9.0,6.0,95.976.866.503,0.9298283935844499,0,0,1,0,Senior (70+),,,,,,,0.8582440747493163,True,71.32862351868732,44.74726526891522,26.581358249772105,Mixed gemeente
2,779,3,4.0,11,33.0,17,1.0,8.0,4.0,9.0,6.0,95.976.866.503,0.9298283935844499,0,0,0,1,Senior (70+),,,,,,,0.8582440747493163,True,71.32862351868732,44.74726526891522,26.581358249772105,Mixed gemeente
2,779,3,4.0,11,33.0,17,1.0,4.0,3.0,9.0,6.0,95.976.866.503,0.9298283935844499,0,0,1,0,Senior (70+),,,,,,,0.8582440747493163,True,71.32862351868732,44.74726526891522,26.581358249772105,Mixed gemeente
2,779,3,4.0,11,33.0,17,1.0,4.0,3.0,9.0,6.0,95.976.866.503,0.9298283935844499,0,0,1,0,Senior (70+),,,,,,,0.8582440747493163,True,71.32862351868732,44.74726526891522,26.581358249772105,Mixed gemeente
3,748,2,5.0,11,33.0,5,1.0,7.0,3.0,8.0,5.0,54.473.050.364,0.5277374721544982,1,0,0,1,Young Adult (18-29),,,,,,,,True,171.51442615943577,104.00577046377433,67.50865569566146,Mixed gemeente
3,748,2,5.0,11,33.0,5,1.0,7.0,3.0,8.0,5.0,54.473.050.364,0.5277374721544982,1,0,0,1,Young Adult (18-29),,,,,,,,True,171.51442615943577,104.00577046377433,67.50865569566146,Mixed gemeente
3,748,2,5.0,11,33.0,3,1.0,5.0,4.0,8.0,5.0,106.350.571.717,1.0303293372608173,1,0,1,0,Child/Teen (<18),,,,,,,,True,171.51442615943577,104.00577046377433,67.50865569566146,Mixed gemeente
3,748,2,5.0,11,33.0,3,1.0,5.0,4.0,8.0,5.0,106.350.571.717,1.0303293372608173,1,0,1,0,Child/Teen (<18),,,,,,,,True,171.51442615943577,104.00577046377433,67.50865569566146,Mixed gemeente
2,772,1,7.0,11,36.0,18,1.0,6.0,3.0,9.0,6.0,66.387.923.259,0.6431693207591248,0,0,0,1,Senior (70+),,,,,,,,True,279.5044178481064,160.4257801518133,119.07863769629304,High-density urban gemeente
2,1948,3,5.0,11,35.0,16,1.0,6.0,4.0,1.0,1.0,54.553.736.902,0.5285191671269016,0,1,0,1,Senior (70+),,,,,,,1.0451316333156249,True,100.51248450504691,66.6114751195325,33.901009385514435,Mixed gemeente
2,1948,3,5.0,11,35.0,16,1.0,6.0,4.0,1.0,1.0,54.553.736.902,0.5285191671269016,0,1,0,1,Senior (70+),,,,,,,1.0451316333156249,True,100.51248450504691,66.6114751195325,33.901009385514435,Mixed gemeente
2,861,2,4.0,11,36.0,7,1.0,8.0,4.0,9.0,6.0,94.633.870.887,0.9168173889359786,0,0,0,1,Young Adult (18-29),,,,,,,0.8289667121705345,True,157.5653680562848,102.92397353775073,54.64139451853408,Mixed gemeente
2,861,2,4.0,11,36.0,7,1.0,8.0,4.0,9.0,6.0,94.633.870.887,0.9168173889359786,0,0,0,1,Young Adult (18-29),,,,,,,0.8289667121705345,True,157.5653680562848,102.92397353775073,54.64139451853408,Mixed gemeente
4,1674,2,5.0,11,33.0,2,1.0,9.0,4.0,1.0,2.0,11.246.225.666,0.1089539628237199,0,1,0,0,Child/Teen (<18),,,,,,,,True,196.71018595971944,129.47204169615856,67.2381442635609,Mixed gemeente
2,794,2,5.0,11,36.0,13,1.0,6.0,6.0,7.0,5.0,123.803.445.708,1.1994136007690046,1,0,0,1,Older Adult (55-69),,,,,,,,True,174.0263130632964,106.05702890293172,67.96928416036465,Mixed gemeente
2,794,2,5.0,11,36.0,13,1.0,6.0,6.0,7.0,5.0,123.803.445.708,1.1994136007690046,1,0,0,1,Older Adult (55-69),,,,,,,,True,174.0263130632964,106.05702890293172,67.96928416036465,Mixed gemeente
2,828,3,5.0,11,35.0,16,1.0,8.0,3.0,1.0,2.0,61.865.626.706,0.5993570992061629,0,1,0,1,Senior (70+),,,,,,,,True,161.09751233336831,103.94599559147686,57.15151674189146,Mixed gemeente
2,828,3,5.0,11,35.0,16,1.0,8.0,4.0,9.0,6.0,61.865.626.706,0.5993570992061629,0,0,0,1,Senior (70+),,,,,,,,True,161.09751233336831,103.94599559147686,57.15151674189146,Mixed gemeente
3,828,3,5.0,11,35.0,10,1.0,8.0,4.0,9.0,6.0,84.073.697.812,0.8145099358582717,0,0,0,1,Family w/ Kids,,,,,,,,True,161.09751233336831,103.94599559147686,57.15151674189146,Mixed gemeente
1,828,3,5.0,11,35.0,17,1.0,4.0,3.0,1.0,2.0,151.702.933.484,1.469705149616103,0,1,1,0,Senior (70+),,,,,,,,True,161.09751233336831,103.94599559147686,57.15151674189146,Mixed gemeente
1,828,3,5.0,11,35.0,17,1.0,6.0,3.0,1.0,2.0,151.702.933.484,1.469705149616103,0,1,0,1,Senior (70+),,,,,,,,True,161.09751233336831,103.94599559147686,57.15151674189146,Mixed gemeente
1,828,3,5.0,11,35.0,17,1.0,6.0,3.0,1.0,2.0,151.702.933.484,1.469705149616103,0,1,0,1,Senior (70+),,,,,,,,True,161.09751233336831,103.94599559147686,57.15151674189146,Mixed gemeente
1,828,3,5.0,11,35.0,17,1.0,4.0,1.0,9.0,6.0,151.702.933.484,1.469705149616103,0,0,1,0,Senior (70+),,,,,,,,True,161.09751233336831,103.94599559147686,57.15151674189146,Mixed gemeente
1,828,3,5.0,11,35.0,17,1.0,4.0,1.0,9.0,6.0,151.702.933.484,1.469705149616103,0,0,1,0,Senior (70+),,,,,,,,True,161.09751233336831,103.94599559147686,57.15151674189146,Mixed gemeente
3,1948,3,5.0,11,35.0,9,1.0,9.0,1.0,9.0,6.0,144.882.190.853,1.4036254744327352,0,0,0,0,Family w/ Kids,,,,,,,1.0451316333156249,True,100.51248450504691,66.6114751195325,33.901009385514435,Mixed gemeente
3,1948,3,5.0,11,35.0,9,1.0,9.0,1.0,9.0,6.0,144.882.190.853,1.4036254744327352,0,0,0,0,Family w/ Kids,,,,,,,1.0451316333156249,True,100.51248450504691,66.6114751195325,33.901009385514435,Mixed gemeente
3,1948,3,5.0,11,35.0,9,1.0,1.0,6.0,1.0,1.0,144.882.190.853,1.4036254744327352,0,1,1,0,Family w/ Kids,,,,,,,1.0451316333156249,True,100.51248450504691,66.6114751195325,33.901009385514435,Mixed gemeente
3,1948,3,5.0,11,35.0,9,1.0,1.0,6.0,1.0,1.0,144.882.190.853,1.4036254744327352,0,1,1,0,Family w/ Kids,,,,,,,1.0451316333156249,True,100.51248450504691,66.6114751195325,33.901009385514435,Mixed gemeente
3,1948,3,5.0,11,35.0,9,1.0,9.0,1.0,9.0,6.0,144.882.190.853,1.4036254744327352,0,0,0,0,Family w/ Kids,,,,,,,1.0451316333156249,True,100.51248450504691,66.6114751195325,33.901009385514435,Mixed gemeente
3,1948,3,5.0,11,35.0,9,1.0,9.0,1.0,9.0,6.0,144.882.190.853,1.4036254744327352,0,0,0,0,Family w/ Kids,,,,,,,1.0451316333156249,True,100.51248450504691,66.6114751195325,33.901009385514435,Mixed gemeente
3,1948,3,5.0,11,35.0,9,1.0,8.0,4.0,9.0,6.0,144.882.190.853,1.4036254744327352,0,0,0,1,Family w/ Kids,,,,,,,1.0451316333156249,True,100.51248450504691,66.6114751195325,33.901009385514435,Mixed gemeente
2,753,3,4.0,11,36.0,7,1.0,7.0,4.0,1.0,1.0,119.903.303.124,1.1616288361088907,0,1,0,1,Young Adult (18-29),,,,,,,,True,1.1411653244907627,0.8376756671403758,0.3034896573503868,Mixed gemeente
2,753,3,4.0,11,36.0,7,1.0,7.0,4.0,1.0,1.0,119.903.303.124,1.1616288361088907,0,1,0,1,Young Adult (18-29),,,,,,,,True,1.1411653244907627,0.8376756671403758,0.3034896573503868,Mixed gemeente
2,1948,3,5.0,11,35.0,10,1.0,6.0,2.0,9.0,6.0,130.732.646.461,1.2665440233358296,0,0,0,1,Mid-life No Kids (30-54),,,,,,,1.0451316333156249,True,100.51248450504691,66.6114751195325,33.901009385514435,Mixed gemeente
3,1652,4,4.0,11,36.0,13,1.0,3.0,6.0,1.0,1.0,120.293.032.296,1.16540455064446,0,1,1,0,Older Adult (55-69),,,,,,,1.1141769743101808,True,49.40834126228988,31.42245480494767,17.985886457342215,Mixed gemeente
3,1652,4,4.0,11,36.0,13,1.0,3.0,6.0,1.0,1.0,120.293.032.296,1.16540455064446,0,1,1,0,Older Adult (55-69),,,,,,,1.1141769743101808,True,49.40834126228988,31.42245480494767,17.985886457342215,Mixed gemeente
3,772,1,7.0,11,36.0,2,1.0,6.0,1.0,9.0,6.0,130.599.675.937,1.265255798649716,0,0,0,1,Child/Teen (<18),,,,,,,,True,279.5044178481064,160.4257801518133,119.07863769629304,High-density urban gemeente
3,772,1,7.0,11,36.0,2,1.0,6.0,1.0,9.0,6.0,130.599.675.937,1.265255798649716,0,0,0,1,Child/Teen (<18),,,,,,,,True,279.5044178481064,160.4257801518133,119.07863769629304,High-density urban gemeente
5,772,1,7.0,11,36.0,8,1.0,6.0,3.0,9.0,6.0,81.108.175.202,0.7857798134333176,0,0,0,1,Mid-life No Kids (30-54),,,,,,,,True,279.5044178481064,160.4257801518133,119.07863769629304,High-density urban gemeente
5,772,1,7.0,11,36.0,8,1.0,7.0,3.0,8.0,5.0,81.108.175.202,0.7857798134333176,1,0,0,1,Mid-life No Kids (30-54),,,,,,,,True,279.5044178481064,160.4257801518133,119.07863769629304,High-density urban gemeente
5,772,1,7.0,11,36.0,8,1.0,7.0,3.0,8.0,5.0,81.108.175.202,0.7857798134333176,1,0,0,1,Mid-life No Kids (30-54),,,,,,,,True,279.5044178481064,160.4257801518133,119.07863769629304,High-density urban gemeente
1,772,1,7.0,11,36.0,11,1.0,4.0,2.0,9.0,6.0,110.844.602.903,1.073867722609814,0,0,1,0,Mid-life No Kids (30-54),,,,,,,,True,279.5044178481064,160.4257801518133,119.07863769629304,High-density urban gemeente
