buurtcode,reachable_buurten_10min,avg_bike_minutes_to_reachable,avg_bike_distance_to_reachable,bikeshed_total_amenities,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities
BU09831210,37,6.249729729729731,1837.3705405405408,288.0,168.0,120.0
BU09842201,1,0.0,0.0,8.0,3.0,5.0
BU09950420,45,6.184222222222223,1690.5084444444449,216.0,172.0,44.0
BU09951029,1,0.0,0.0,3.0,3.0,0.0
BU16802101,3,3.8366666666666664,1154.1666666666667,11.0,8.0,3.0
BU17141101,2,3.3,989.65,9.0,5.0,4.0
BU17240405,19,5.266842105263158,1509.6652631578952,76.0,57.0,19.0
BU17830606,20,6.593999999999999,1592.5355,179.0,116.0,63.0
BU18590319,12,5.4075,1624.2525000000003,75.0,50.0,25.0
BU18950909,4,4.355,1155.445,14.0,9.0,5.0
BU18951009,2,1.83,548.86,5.0,5.0,0.0
BU19010216,21,6.164761904761905,1678.7552380952377,114.0,79.0,35.0
BU19010220,24,4.39875,1279.4445833333336,126.0,86.0,40.0
BU19300401,50,6.1888,1791.1794,316.0,235.0,81.0
BU19420102,44,5.207727272727273,1530.995,294.0,202.0,92.0
BU19450301,11,6.757272727272727,1945.2045454545457,93.0,59.0,34.0
BU19491802,7,4.99,1465.1385714285716,33.0,27.0,6.0
BU19492000,6,5.341666666666666,1568.8166666666666,27.0,24.0,3.0
BU19630899,2,1.815,460.02,21.0,15.0,6.0
BU19630950,3,5.6000000000000005,1257.8133333333333,27.0,16.0,11.0
BU19691609,3,4.396666666666667,1318.9333333333334,20.0,16.0,4.0
BU19691702,1,0.0,0.0,3.0,3.0,0.0
BU19780504,5,4.938,1366.176,19.0,16.0,3.0
BU19781704,10,5.706,1708.568,49.0,32.0,17.0
BU19910115,20,5.759,1686.2570000000003,172.0,102.0,70.0
BU19922108,7,5.858571428571429,1603.2557142857145,59.0,37.0,22.0
BU00340101,38,4.735526315789474,1355.6534210526313,149.0,112.0,37.0
BU00340201,40,5.125,1340.591,157.0,117.0,40.0
BU00344904,48,6.112708333333333,1799.89125,242.0,184.0,58.0
BU00345002,47,5.988297872340427,1745.5702127659579,230.0,179.0,51.0
BU00808201,4,4.875,1447.7875,18.0,14.0,4.0
BU01190101,25,5.483199999999998,1608.4344000000003,160.0,108.0,52.0
BU01500306,26,6.338846153846153,1863.6961538461537,270.0,164.0,106.0
BU01660302,12,6.891666666666668,2064.7591666666667,123.0,80.0,43.0
BU02001002,3,3.6733333333333333,1105.3933333333334,25.0,18.0,7.0
BU02035533,12,2.9000000000000004,828.6916666666667,64.0,45.0,19.0
