Wogem_DANS24,gemeente,n_buurten,population,pop_weighted_total_access,pop_weighted_utilitarian_access,pop_weighted_leisure_social_access,share_high_density,share_vinex_like,elderly_share,family_hh_share,dominant_type
14,Groningen,160,244420,242.3294124867032,141.1400458227641,101.18936666393913,0.34375,0.09375,0.15592013746829228,0.20969347980545713,Mixed gemeente
34,Almere,238,229540,218.27964624901978,157.72004879323865,60.55959745578113,0.35714285714285715,0.03361344537815126,0.14147860939269843,0.4305464803030461,Mixed gemeente
37,Stadskanaal,27,32050,65.07020280811233,46.33650546021841,18.733697347893916,0.037037037037037035,0.2222222222222222,0.26614664586583464,0.3136477227685118,Mixed gemeente
47,Veendam,17,27695,90.60787145694168,58.15977613287597,32.44809532406572,0.0,0.23529411764705882,0.24408738039357283,0.3280269570011427,Mixed gemeente
50,Zeewolde,11,24290,53.622272540139974,39.295800741045696,14.326471799094277,0.0,0.18181818181818182,0.1642651296829971,0.3738546280553292,Mixed gemeente
59,Achtkarspelen,24,28190,32.440227030862005,21.01578573962398,11.424441291238027,0.0,0.6666666666666666,0.22383824051081944,0.36866344685452646,VINEX-like gemeente
60,Ameland,7,3800,28.063157894736843,13.307894736842105,14.755263157894737,0.0,0.0,0.25526315789473686,0.26301891951659756,Mixed gemeente
72,Harlingen,12,16210,77.32202344231956,49.79086983343615,27.531153608883404,0.08333333333333333,0.08333333333333333,0.27513880320789635,0.30536011541471036,Mixed gemeente
74,Heerenveen,31,51850,70.08023143683702,46.76923818707811,23.31099324975892,0.0967741935483871,0.1935483870967742,0.23654773384763741,0.33409216365934374,Mixed gemeente
80,Leeuwarden,136,129970,251.38216511502654,150.59640686312227,100.78575825190428,0.36764705882352944,0.11764705882352941,0.19754558744325615,0.28436973477288957,Mixed gemeente
85,Ooststellingwerf,59,25940,76.29683885890516,42.810331534309945,33.48650732459522,0.0,0.2033898305084746,0.26407093292212797,0.31866187189862566,Mixed gemeente
86,Opsterland,50,30010,34.32339220259913,27.076307897367546,7.247084305231589,0.0,0.46,0.24275241586137955,0.35190916843131664,Mixed gemeente
88,Schiermonnikoog,2,970,33.0,15.0,18.0,0.0,0.0,0.31958762886597936,0.1468835713610139,Mixed gemeente
90,Smallingerland,61,57080,0.6539943938332166,0.413104414856342,0.24088997897687456,0.2459016393442623,0.2459016393442623,0.22591100210231255,0.34787189040756933,Mixed gemeente
93,Terschelling,16,4930,34.794117647058826,17.875253549695742,16.918864097363084,0.0,0.0,0.2484787018255578,0.22606686882544472,Mixed gemeente
96,Vlieland,2,1220,21.598360655737704,11.48360655737705,10.114754098360656,0.0,0.0,0.22131147540983606,0.17086873279885129,Mixed gemeente
98,Weststellingwerf,64,26575,66.77591721542804,49.959360301034806,16.816556914393228,0.0,0.328125,0.2605832549388523,0.3380651584807358,Mixed gemeente
106,Assen,109,70395,193.84231834647346,145.36366219191703,48.47865615455643,0.22935779816513763,0.11009174311926606,0.22054123162156403,0.3451128608600151,Mixed gemeente
109,Coevorden,68,35845,47.29474124703585,31.389036127772354,15.905705119263496,0.0,0.2647058823529412,0.26865671641791045,0.3338893140688504,Mixed gemeente
114,Emmen,83,109695,55.61994621450385,36.412416245043076,19.20752996946078,0.0,0.39759036144578314,0.24659282556178494,0.3279651309640753,Mixed gemeente
118,Hoogeveen,48,56925,103.9965744400527,72.49205094422486,31.504523495827844,0.10416666666666667,0.20833333333333334,0.23091787439613526,0.34843840520214175,Mixed gemeente
119,Meppel,46,36275,121.53301171605789,85.39889731219849,36.13411440385941,0.08695652173913043,0.15217391304347827,0.21212956581667816,0.346290171859945,Mixed gemeente
141,Almelo,71,74780,209.3101765177855,136.38265579031827,72.92752072746724,0.30985915492957744,0.08450704225352113,0.20887937951323884,0.35651538722566306,Mixed gemeente
147,Borne,15,24735,110.40408328279766,69.07984637153831,41.32423691125935,0.13333333333333333,0.2,0.23064483525368912,0.39530550230019984,Mixed gemeente
148,Dalfsen,36,30030,42.405261405261406,29.815184815184814,12.59007659007659,0.0,0.3055555555555556,0.2301032301032301,0.3892163854049026,Mixed gemeente
150,Deventer,69,104270,202.40510213867844,128.2343914836482,74.1707106550302,0.37681159420289856,0.014492753623188406,0.19555001438572936,0.33943116252309885,Mixed gemeente
153,Enschede,70,162345,209.32504850780745,126.96673750346484,82.35831100434261,0.5,0.05714285714285714,0.18633157781268286,0.2921170836108044,High-density urban gemeente
158,Haaksbergen,29,24225,104.8249742002064,76.99256965944272,27.832404540763672,0.034482758620689655,0.034482758620689655,0.2608875128998968,0.3653981906149323,Mixed gemeente
160,Hardenberg,74,63430,46.207788112880344,30.89681538704083,15.310972725839509,0.0,0.4864864864864865,0.20597509065111147,0.3951067464454176,Mixed gemeente
163,Hellendoorn,39,36190,88.97596021000277,63.96725614810721,25.00870406189555,0.0,0.28205128205128205,0.2428847747996684,0.3916128252130474,Mixed gemeente
164,Hengelo (O.),62,83665,203.56319847008905,129.04822805235165,74.5149704177374,0.2903225806451613,0.08064516129032258,0.21173728560329888,0.31775544974454084,Mixed gemeente
166,Kampen,36,56545,124.99407551507649,82.49217437439208,42.50190114068441,0.2222222222222222,0.3888888888888889,0.1834821823326554,0.40892486554330465,Mixed gemeente
168,Losser,13,23465,35.21734498188792,22.17536756871937,13.04197741316855,0.0,0.15384615384615385,0.2569784785851268,0.3567685011425068,Mixed gemeente
171,Noordoostpolder,49,50810,79.7499507970872,55.24503050580594,24.504920291281245,0.02040816326530612,0.30612244897959184,0.19139933084038574,0.35802001605416933,Mixed gemeente
173,Oldenzaal,14,32020,109.74375390381012,68.16520924422237,41.578544659587756,0.21428571428571427,0.07142857142857142,0.2531230480949407,0.34445279974243403,Mixed gemeente
175,Ommen,46,19260,58.61422637590862,43.75908618899273,14.855140186915888,0.0,0.2608695652173913,0.24376947040498442,0.35766620771910396,Mixed gemeente
177,Raalte,38,38630,61.457545948744496,45.10962982138235,16.347916127362154,0.0,0.18421052631578946,0.25110018120631633,0.3642877855801503,Mixed gemeente
180,Staphorst,24,17975,39.88817802503477,27.876773296244785,12.011404728789985,0.0,0.125,0.16356050069541028,0.4684996855496926,Mixed gemeente
