buurtcode,buurtnaam,gemeente,a_inw,elderly_share,bikeshed_utilitarian_amenities,bikeshed_leisure_social_amenities,elderly_amenity_priority_score
BU07726380,Eindhoven Airport,Eindhoven,5,1.0,4.0,4.0,0.9912605606221676
BU07530101,Centrum,Best,1590,0.5094339622641509,0.0,0.0,0.8037735849056604
BU16580010,Centrum,Heeze-Leende,365,0.4931506849315068,4.0,0.0,0.7917995231193604
BU16580019,Buitengebied Heeze West,Heeze-Leende,200,0.45,0.0,0.0,0.78
BU08470403,Slieven,Someren,410,0.4268292682926829,0.0,0.0,0.7707317073170732
BU16580023,Emmerik,Heeze-Leende,720,0.4375,4.0,0.0,0.7695392491467576
BU07431101,Ommel recreatie,Asten,60,0.5,21.0,6.0,0.7664130252335926
BU17060302,Industrieterrein Den Engelsman Rondven,Cranendonck,10,0.5,22.0,12.0,0.7601298047333968
BU07620101,Deurne Centrum,Deurne,1615,0.544891640866873,31.0,21.0,0.7584227224800228
BU17060301,Kamersven,Cranendonck,185,0.4054054054054054,8.0,2.0,0.7496013161933824
BU16580012,Strabrecht,Heeze-Leende,235,0.3829787234042553,4.0,0.0,0.7477307385084597
BU08470001,Someren centrum,Someren,3070,0.3680781758957654,0.0,0.0,0.7472312703583062
BU17060209,Verspreide huizen Budel-Dorplein,Cranendonck,25,0.4,17.0,9.0,0.7294147596933924
BU16580015,Oudenmolen,Heeze-Leende,1155,0.3246753246753247,4.0,0.0,0.7244093790168875
BU16590201,Industrieterrein Bavaria,Laarbeek,25,0.4,20.0,12.0,0.722860180160018
BU07530501,Villawijk,Best,250,0.34,10.0,0.0,0.7223481228668942
BU07942105,De Marke,Helmond,20,0.5,42.0,27.0,0.7205309684999721
BU16580115,Boschoven,Heeze-Leende,65,0.3076923076923077,2.0,0.0,0.7203465476503019
BU16580011,Weibossen,Heeze-Leende,970,0.3144329896907216,4.0,0.0,0.7203124450230463
BU17240610,Buitengebied Zuid 2,Bergeijk,130,0.3076923076923077,2.0,1.0,0.7195268755191544
BU16580118,Biesven,Heeze-Leende,60,0.3333333333333333,9.0,2.0,0.7194072996512431
BU07530601,Batadorp,Best,490,0.2959183673469387,0.0,0.0,0.7183673469387755
BU16580101,Villapark,Heeze-Leende,150,0.3,2.0,0.0,0.717269624573379
BU16580110,Dorpstraat,Heeze-Leende,365,0.3150684931506849,9.0,2.0,0.7121013635781837
BU08200009,Verspreide huizen ten zuidoosten van Nuenen,"Nuenen, Gerwen en Nederwetten",75,0.3333333333333333,13.0,5.0,0.7114875324045581
BU08470101,Lierop centrum,Someren,1350,0.2703703703703703,0.0,0.0,0.7081481481481482
BU07700209,Verspreide huizen Steensel,Eersel,140,0.3214285714285714,11.0,7.0,0.7078166588069794
BU16580024,Nieuwendijk,Heeze-Leende,550,0.2818181818181818,4.0,0.0,0.7072665218740304
BU16580111,Langakkers,Heeze-Leende,565,0.3008849557522124,9.0,2.0,0.7064279486187947
BU16580310,Sterksel,Heeze-Leende,915,0.2622950819672131,0.0,0.0,0.7049180327868854
BU07941909,Scheepstal,Helmond,75,0.3333333333333333,17.0,7.0,0.7043874372890208
BU16580020,Buitengebied Heeze Oost,Heeze-Leende,365,0.273972602739726,4.0,0.0,0.704128290242648
BU07700501,Knegsel-Oeyenbos,Eersel,230,0.2608695652173913,2.0,0.0,0.7016174506603354
BU16580200,Leenderstrijp,Heeze-Leende,415,0.2891566265060241,9.0,3.0,0.7009169447891718
BU07530401,De Leeuwerik,Best,1645,0.2522796352583586,0.0,0.0,0.7009118541033434
BU08470003,Loove,Someren,2605,0.2495201535508637,0.0,0.0,0.6998080614203455
BU07620600,Liessel kern,Deurne,2415,0.2484472049689441,0.0,0.0,0.6993788819875777
BU07620800,Helenaveen kern,Deurne,470,0.2446808510638297,0.0,0.0,0.6978723404255319
BU08470601,Blank Water,Someren,205,0.2439024390243902,0.0,0.0,0.697560975609756
BU07530301,Speelheide,Best,1345,0.241635687732342,0.0,0.0,0.6966542750929368
BU16580016,Nieuwe Hoeven Noord,Heeze-Leende,1245,0.2369477911646586,0.0,0.0,0.6947791164658634
BU16580017,Nieuwe Hoeven Zuid,Heeze-Leende,1280,0.25,4.0,0.0,0.6945392491467577
BU08470501,Boomen,Someren,85,0.2352941176470588,0.0,0.0,0.6941176470588235
BU08470002,Noord,Someren,2525,0.2693069306930693,9.0,2.0,0.6937967385951375
BU16580018,Kerkhof,Heeze-Leende,275,0.2545454545454545,6.0,0.0,0.6936270555383184
BU08200109,Verspreide huizen Gerwen,"Nuenen, Gerwen en Nederwetten",330,0.2727272727272727,9.0,4.0,0.6935255311465237
BU07531701,Kantonnier,Best,1330,0.2330827067669172,0.0,0.0,0.693233082706767
BU17280201,Industrieterrein Hapert,Bladel,40,0.375,32.0,16.0,0.6931992390757008
BU08470503,Lieropse Heide,Someren,65,0.2307692307692307,0.0,0.0,0.6923076923076923
BU08470604,Sluis 12 / 13,Someren,305,0.2295081967213114,0.0,0.0,0.6918032786885246
BU16580313,Peelven,Heeze-Leende,285,0.2280701754385964,0.0,0.0,0.6912280701754385
BU17060008,Verspreide huizen Berg en Toom,Cranendonck,380,0.2368421052631578,2.0,1.0,0.6911867945474945
BU17060109,Verspreide huizen in het Westen,Cranendonck,115,0.3043478260869565,17.0,9.0,0.691153890128175
BU17710114,Buitengebied Mierlo,Geldrop-Mierlo,580,0.2413793103448276,4.0,0.0,0.6910909732846888
BU16580014,Engelse Tuin,Heeze-Leende,1565,0.2268370607028754,0.0,0.0,0.6907348242811502
